Instância;Número de Arestas;Média de Arestas por Rótulos;Desvio Padrão de Arestas por Rótulos;Mínimo de Arestas por Rótulos;Máximo de Arestas por Rótulos;Número de Vértices com Grau 1;Média do Grau dos Vértices;Desvio Padrão do Grau dos Vértices;Grau Mínimo dos Vértices;Grau Máximo dos Vértices
20-0,8-20-0;149;7,45;27,0046;3;10;0;14,9;12,357;12;18
20-0,8-20-1;151;7,55;28,8593;5;12;0;15,1;9,80043;12;18
20-0,8-20-2;148;7,4;35,5998;3;14;0;14,8;15,3484;10;18
20-0,8-20-3;150;7,5;34,641;2;11;0;15;10,9545;12;19
20-0,8-20-4;148;7,4;35,3424;3;13;0;14,8;17,697;9;19
20-0,8-20-5;152;7,6;33,391;3;13;0;15,2;11,695;12;18
20-0,8-20-6;151;7,55;27,2973;4;12;0;15,1;11,8282;11;18
20-0,8-20-7;151;7,55;34,1493;2;12;0;15,1;11,6413;11;18
20-0,8-20-8;149;7,45;24,5586;5;13;0;14,9;13,406;11;18
20-0,8-20-9;148;7,4;32,3761;3;11;0;14,8;11,4267;11;17
20-0,5-20-0;95;4,75;42,0394;1;9;0;9,5;27,7504;3;15
20-0,5-20-1;94;4,7;49,4881;1;11;0;9,4;21,3827;6;13
20-0,5-20-2;94;4,7;54,2866;1;11;0;9,4;45,6828;5;18
20-0,5-20-3;95;4,75;39,8752;2;9;0;9,5;21,7006;5;13
20-0,5-20-4;94;4,7;44,6809;1;8;0;9,4;26,5745;6;15
20-0,5-20-5;95;4,75;45,5803;1;9;0;9,5;22,2053;5;13
20-0,5-20-6;95;4,75;36,3882;2;9;0;9,5;23,4196;6;14
20-0,5-20-7;94;4,7;47,6235;1;9;0;9,4;25,7086;4;14
20-0,5-20-8;95;4,75;36,9922;1;8;0;9,5;20,6541;6;12
20-0,5-20-9;94;4,7;42,0717;1;8;0;9,4;22,6673;4;14
20-0,2-20-0;38;1,9;86,3222;0;6;0;3,8;40,4271;2;8
20-0,2-20-1;38;1,9;70,4163;0;5;2;3,8;45,2754;1;9
20-0,2-20-2;38;1,9;54,949;0;3;0;3,8;90,6272;2;18
20-0,2-20-3;38;1,9;74,246;0;5;3;3,8;53,0248;1;8
20-0,2-20-4;38;1,9;89,4737;0;6;1;3,8;34,9118;1;6
20-0,2-20-5;38;1,9;57,4143;0;4;0;3,8;35,89;2;7
20-0,2-20-6;38;1,9;64,245;0;5;1;3,8;63,7038;1;11
20-0,2-20-7;38;1,9;68,4211;0;5;2;3,8;55,5756;1;9
20-0,2-20-8;38;1,9;54,949;0;4;2;3,8;48,2376;1;8
20-0,2-20-9;38;1,9;66,3659;0;5;1;3,8;71,8763;1;14
30-0,8-30-0;342;11,4;24,4568;6;17;0;22,8;13,0306;16;26
30-0,8-30-1;347;11,5667;26,0978;6;18;0;23,1333;8,55379;20;27
30-0,8-30-2;343;11,4333;30,1872;4;20;0;22,8667;13,2035;16;27
30-0,8-30-3;344;11,4667;31,6634;4;18;0;22,9333;10,677;17;28
30-0,8-30-4;344;11,4667;30,4387;4;20;0;22,9333;6,15977;20;26
30-0,8-30-5;344;11,4667;26,6175;3;18;0;22,9333;11,4226;15;28
30-0,8-30-6;345;11,5;34,0317;5;19;0;23;11,3932;17;28
30-0,8-30-7;342;11,4;24,7694;4;17;0;22,8;12,0594;17;28
30-0,8-30-8;344;11,4667;32,6877;4;19;0;22,9333;12,932;16;29
30-0,8-30-9;342;11,4;25,5844;4;17;0;22,8;10,2798;17;27
30-0,5-30-0;217;7,23333;30,2221;2;12;0;14,4667;47,2457;7;26
30-0,5-30-1;217;7,23333;32,0633;4;12;0;14,4667;17,3715;6;20
30-0,5-30-2;216;7,2;41,8822;2;15;0;14,4;25,0129;8;21
30-0,5-30-3;216;7,2;47,629;1;16;0;14,4;20,491;9;21
30-0,5-30-4;216;7,2;35,0264;3;12;0;14,4;21,71;9;21
30-0,5-30-5;217;7,23333;37,0416;1;13;0;14,4667;20,4849;9;22
30-0,5-30-6;216;7,2;40,3177;2;13;0;14,4;15,1722;10;19
30-0,5-30-7;215;7,16667;34,0044;2;11;0;14,3333;39,5212;7;24
30-0,5-30-8;217;7,23333;42,6386;0;13;0;14,4667;36,0391;5;23
30-0,5-30-9;217;7,23333;34,365;2;11;0;14,4667;18,9501;9;20
30-0,2-30-0;87;2,9;53,6795;0;6;0;5,8;99,4834;2;26
30-0,2-30-1;87;2,9;66,8349;0;7;0;5,8;39,9167;2;11
30-0,2-30-2;87;2,9;57,2525;0;8;1;5,8;78,809;1;20
30-0,2-30-3;87;2,9;70,8646;0;9;0;5,8;82,7347;2;19
30-0,2-30-4;87;2,9;73,6081;0;7;0;5,8;58,1114;2;15
30-0,2-30-5;87;2,9;43,9345;0;6;0;5,8;76,7709;2;18
30-0,2-30-6;87;2,9;58,6207;0;7;1;5,8;33,7274;1;9
30-0,2-30-7;86;2,86667;62,2283;1;7;0;5,73333;90,9582;2;24
30-0,2-30-8;87;2,9;52,936;0;7;1;5,8;84,9798;1;21
30-0,2-30-9;87;2,9;53,6795;0;6;0;5,8;47,1965;2;12
40-0,8-40-0;618;15,45;24,1724;7;22;0;30,9;10,2032;25;36
40-0,8-40-1;620;15,5;24,0534;9;24;0;31;8,4735;26;38
40-0,8-40-2;622;15,55;23,14;9;24;0;31,1;7,32526;27;36
40-0,8-40-3;618;15,45;22,6976;8;22;0;30,9;10,6551;24;36
40-0,8-40-4;616;15,4;27,4653;5;25;0;30,8;21,0814;19;39
40-0,8-40-5;620;15,5;25,9271;9;29;0;31;9,70426;25;37
40-0,8-40-6;613;15,325;25,7475;8;26;0;30,65;7,94338;23;36
40-0,8-40-7;617;15,425;29,1333;7;29;0;30,85;9,5211;25;36
40-0,8-40-8;615;15,375;23,7949;9;22;0;30,75;9,4463;24;35
40-0,8-40-9;621;15,525;26,1639;4;27;0;31,05;24,7898;21;39
40-0,5-40-0;389;9,725;31,5253;3;18;0;19,45;19,0977;11;28
40-0,5-40-1;389;9,725;30,9328;4;17;0;19,45;16,4585;15;29
40-0,5-40-2;390;9,75;24,0261;5;16;0;19,5;15,1694;14;27
40-0,5-40-3;388;9,7;34,1298;3;18;0;19,4;29,6963;9;30
40-0,5-40-4;389;9,725;38,6109;3;20;0;19,45;56,1677;10;38
40-0,5-40-5;388;9,7;30,4255;3;16;0;19,4;21,7719;10;27
40-0,5-40-6;387;9,675;34,2326;3;18;0;19,35;18,145;13;27
